model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_555,adj,adv,5,0.01,20,0.6086956521739131,0.5604395604395604
smolm-autoreg-bpe-seed_555,n,adv,3,0.01,2,0.8369565217391305,0.8681318681318682
smolm-autoreg-bpe-seed_555,adj,adv,2,0.01,47,0.6304347826086957,0.5934065934065934
smolm-autoreg-bpe-seed_555,adj,adv,4,0.01,21,0.6304347826086957,0.5494505494505495
smolm-autoreg-bpe-seed_555,adj,v,5,0.01,10,0.9,0.9
smolm-autoreg-bpe-seed_555,n,v,1,0.01,16,0.94,0.88
smolm-autoreg-bpe-seed_555,adj,adv,3,0.01,22,0.6086956521739131,0.5934065934065934
smolm-autoreg-bpe-seed_555,adv,v,2,0.01,1,0.8369565217391305,0.7912087912087912
smolm-autoreg-bpe-seed_555,n,adj,4,0.01,6,0.8,0.75
smolm-autoreg-bpe-seed_555,adv,v,3,0.01,1,0.8478260869565217,0.8351648351648352
smolm-autoreg-bpe-seed_555,n,v,3,0.01,43,0.92,0.85
smolm-autoreg-bpe-seed_555,n,adj,5,0.001,0,0.77,0.82
smolm-autoreg-bpe-seed_555,n,adv,4,0.01,4,0.8478260869565217,0.8571428571428571
smolm-autoreg-bpe-seed_555,adv,v,1,0.01,4,0.8695652173913043,0.8461538461538461
smolm-autoreg-bpe-seed_555,adj,v,1,0.01,11,0.88,0.9
smolm-autoreg-bpe-seed_555,n,v,2,0.01,37,0.93,0.86
smolm-autoreg-bpe-seed_555,n,v,5,0.01,15,0.92,0.84
smolm-autoreg-bpe-seed_555,n,adj,3,0.01,11,0.78,0.75
smolm-autoreg-bpe-seed_555,adj,v,4,0.01,33,0.89,0.83
smolm-autoreg-bpe-seed_555,adv,v,4,0.01,11,0.8369565217391305,0.8571428571428571
smolm-autoreg-bpe-seed_555,n,adj,1,0.01,11,0.75,0.71
smolm-autoreg-bpe-seed_555,n,adj,2,0.01,0,0.86,0.82
smolm-autoreg-bpe-seed_555,n,v,4,0.01,14,0.94,0.9
smolm-autoreg-bpe-seed_555,adj,adv,1,0.01,23,0.6413043478260869,0.5824175824175825
smolm-autoreg-bpe-seed_555,adv,v,5,0.01,5,0.8695652173913043,0.8351648351648352
smolm-autoreg-bpe-seed_555,n,adv,2,0.001,69,0.8586956521739131,0.8351648351648352
smolm-autoreg-bpe-seed_555,n,adv,5,0.01,2,0.8043478260869565,0.8461538461538461
smolm-autoreg-bpe-seed_555,adj,v,2,0.01,11,0.88,0.81
smolm-autoreg-bpe-seed_555,adj,v,3,0.01,37,0.9,0.86
smolm-autoreg-bpe-seed_555,n,adv,1,0.001,69,0.8260869565217391,0.8351648351648352
