model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-mlm-bpe-unmask-seed_1709,adj,adv,5,0.01,48,0.5978260869565217,0.4725274725274725
smolm-mlm-bpe-unmask-seed_1709,n,adv,3,0.001,19,0.6847826086956522,0.6483516483516484
smolm-mlm-bpe-unmask-seed_1709,adj,adv,2,0.01,55,0.5978260869565217,0.45054945054945056
smolm-mlm-bpe-unmask-seed_1709,adj,adv,4,0.01,0,0.5652173913043478,0.46153846153846156
smolm-mlm-bpe-unmask-seed_1709,adj,v,5,0.01,16,0.75,0.77
smolm-mlm-bpe-unmask-seed_1709,n,v,1,0.001,7,0.8,0.82
smolm-mlm-bpe-unmask-seed_1709,adj,adv,3,0.01,36,0.5869565217391305,0.4945054945054945
smolm-mlm-bpe-unmask-seed_1709,adv,v,2,0.001,39,0.6521739130434783,0.6813186813186813
smolm-mlm-bpe-unmask-seed_1709,n,adj,4,0.01,3,0.64,0.67
smolm-mlm-bpe-unmask-seed_1709,adv,v,3,0.01,6,0.6521739130434783,0.6593406593406593
smolm-mlm-bpe-unmask-seed_1709,n,v,3,0.001,25,0.79,0.84
smolm-mlm-bpe-unmask-seed_1709,n,adj,5,0.01,14,0.63,0.63
smolm-mlm-bpe-unmask-seed_1709,n,adv,4,0.001,41,0.6739130434782609,0.6813186813186813
smolm-mlm-bpe-unmask-seed_1709,adv,v,1,0.01,9,0.6521739130434783,0.6923076923076923
smolm-mlm-bpe-unmask-seed_1709,adj,v,1,0.01,20,0.76,0.73
smolm-mlm-bpe-unmask-seed_1709,n,v,2,0.001,7,0.81,0.83
smolm-mlm-bpe-unmask-seed_1709,n,v,5,0.001,14,0.79,0.84
smolm-mlm-bpe-unmask-seed_1709,n,adj,3,0.01,36,0.62,0.7
smolm-mlm-bpe-unmask-seed_1709,adj,v,4,0.01,19,0.77,0.73
smolm-mlm-bpe-unmask-seed_1709,adv,v,4,0.001,66,0.6630434782608695,0.6703296703296703
smolm-mlm-bpe-unmask-seed_1709,n,adj,1,0.01,9,0.66,0.62
smolm-mlm-bpe-unmask-seed_1709,n,adj,2,0.01,3,0.68,0.65
smolm-mlm-bpe-unmask-seed_1709,n,v,4,0.001,9,0.8,0.82
smolm-mlm-bpe-unmask-seed_1709,adj,adv,1,0.01,44,0.5760869565217391,0.46153846153846156
smolm-mlm-bpe-unmask-seed_1709,adv,v,5,0.001,43,0.6847826086956522,0.6703296703296703
smolm-mlm-bpe-unmask-seed_1709,n,adv,2,0.01,1,0.7065217391304348,0.6923076923076923
smolm-mlm-bpe-unmask-seed_1709,n,adv,5,0.01,1,0.75,0.7472527472527473
smolm-mlm-bpe-unmask-seed_1709,adj,v,2,0.01,8,0.74,0.72
smolm-mlm-bpe-unmask-seed_1709,adj,v,3,0.01,10,0.76,0.7
smolm-mlm-bpe-unmask-seed_1709,n,adv,1,0.001,9,0.7065217391304348,0.5824175824175825
smolm-mlm-bpe-unmask-seed_555,adj,adv,5,0.001,0,0.6521739130434783,0.46153846153846156
smolm-mlm-bpe-unmask-seed_555,n,adv,3,0.001,24,0.6847826086956522,0.7032967032967034
smolm-mlm-bpe-unmask-seed_555,adj,adv,2,0.01,0,0.6304347826086957,0.5714285714285714
smolm-mlm-bpe-unmask-seed_555,adj,adv,4,0.01,9,0.6195652173913043,0.5714285714285714
smolm-mlm-bpe-unmask-seed_555,adj,v,5,0.01,15,0.8,0.76
smolm-mlm-bpe-unmask-seed_555,n,v,1,0.01,2,0.88,0.82
smolm-mlm-bpe-unmask-seed_555,adj,adv,3,0.001,11,0.6086956521739131,0.5714285714285714
smolm-mlm-bpe-unmask-seed_555,adv,v,2,0.01,0,0.782608695652174,0.7472527472527473
smolm-mlm-bpe-unmask-seed_555,n,adj,4,0.01,7,0.73,0.78
smolm-mlm-bpe-unmask-seed_555,adv,v,3,0.001,9,0.75,0.7362637362637363
smolm-mlm-bpe-unmask-seed_555,n,v,3,0.01,13,0.83,0.79
smolm-mlm-bpe-unmask-seed_555,n,adj,5,0.001,35,0.74,0.76
smolm-mlm-bpe-unmask-seed_555,n,adv,4,0.01,0,0.7065217391304348,0.6483516483516484
smolm-mlm-bpe-unmask-seed_555,adv,v,1,0.001,0,0.782608695652174,0.7582417582417582
smolm-mlm-bpe-unmask-seed_555,adj,v,1,0.01,1,0.84,0.84
smolm-mlm-bpe-unmask-seed_555,n,v,2,0.01,13,0.87,0.88
smolm-mlm-bpe-unmask-seed_555,n,v,5,0.01,12,0.85,0.79
smolm-mlm-bpe-unmask-seed_555,n,adj,3,0.001,61,0.73,0.75
smolm-mlm-bpe-unmask-seed_555,adj,v,4,0.001,23,0.81,0.75
smolm-mlm-bpe-unmask-seed_555,adv,v,4,0.001,13,0.782608695652174,0.7802197802197802
smolm-mlm-bpe-unmask-seed_555,n,adj,1,0.001,26,0.67,0.8
smolm-mlm-bpe-unmask-seed_555,n,adj,2,0.001,33,0.73,0.76
smolm-mlm-bpe-unmask-seed_555,n,v,4,0.01,12,0.86,0.84
smolm-mlm-bpe-unmask-seed_555,adj,adv,1,0.01,13,0.6086956521739131,0.5604395604395604
smolm-mlm-bpe-unmask-seed_555,adv,v,5,0.001,7,0.782608695652174,0.7802197802197802
smolm-mlm-bpe-unmask-seed_555,n,adv,2,0.01,0,0.8043478260869565,0.7142857142857143
smolm-mlm-bpe-unmask-seed_555,n,adv,5,0.01,1,0.75,0.7032967032967034
smolm-mlm-bpe-unmask-seed_555,adj,v,2,0.01,15,0.81,0.78
smolm-mlm-bpe-unmask-seed_555,adj,v,3,0.01,13,0.79,0.74
smolm-mlm-bpe-unmask-seed_555,n,adv,1,0.001,0,0.8152173913043478,0.7142857142857143
smolm-mlm-bpe-unmask-seed_111,adj,adv,5,0.01,43,0.6086956521739131,0.5054945054945055
smolm-mlm-bpe-unmask-seed_111,n,adv,3,0.001,19,0.6739130434782609,0.6923076923076923
smolm-mlm-bpe-unmask-seed_111,adj,adv,2,0.001,0,0.6739130434782609,0.5164835164835165
smolm-mlm-bpe-unmask-seed_111,adj,adv,4,0.001,0,0.6304347826086957,0.4835164835164835
smolm-mlm-bpe-unmask-seed_111,adj,v,5,0.001,6,0.8,0.82
smolm-mlm-bpe-unmask-seed_111,n,v,1,0.01,21,0.74,0.7
smolm-mlm-bpe-unmask-seed_111,adj,adv,3,0.01,35,0.6413043478260869,0.4945054945054945
smolm-mlm-bpe-unmask-seed_111,adv,v,2,0.01,19,0.8043478260869565,0.7142857142857143
smolm-mlm-bpe-unmask-seed_111,n,adj,4,0.01,52,0.59,0.58
smolm-mlm-bpe-unmask-seed_111,adv,v,3,0.01,16,0.8369565217391305,0.7472527472527473
smolm-mlm-bpe-unmask-seed_111,n,v,3,0.001,16,0.75,0.74
smolm-mlm-bpe-unmask-seed_111,n,adj,5,0.01,46,0.62,0.57
smolm-mlm-bpe-unmask-seed_111,n,adv,4,0.01,0,0.717391304347826,0.6813186813186813
smolm-mlm-bpe-unmask-seed_111,adv,v,1,0.01,13,0.7934782608695652,0.7582417582417582
smolm-mlm-bpe-unmask-seed_111,adj,v,1,0.01,32,0.76,0.7
smolm-mlm-bpe-unmask-seed_111,n,v,2,0.01,0,0.77,0.84
smolm-mlm-bpe-unmask-seed_111,n,v,5,0.001,3,0.77,0.8
smolm-mlm-bpe-unmask-seed_111,n,adj,3,0.01,15,0.58,0.6
smolm-mlm-bpe-unmask-seed_111,adj,v,4,0.01,0,0.8,0.77
smolm-mlm-bpe-unmask-seed_111,adv,v,4,0.01,17,0.7934782608695652,0.6593406593406593
smolm-mlm-bpe-unmask-seed_111,n,adj,1,0.01,51,0.64,0.65
smolm-mlm-bpe-unmask-seed_111,n,adj,2,0.01,23,0.61,0.66
smolm-mlm-bpe-unmask-seed_111,n,v,4,0.01,16,0.69,0.73
smolm-mlm-bpe-unmask-seed_111,adj,adv,1,0.01,47,0.6521739130434783,0.5164835164835165
smolm-mlm-bpe-unmask-seed_111,adv,v,5,0.01,8,0.782608695652174,0.7472527472527473
smolm-mlm-bpe-unmask-seed_111,n,adv,2,0.01,1,0.7282608695652174,0.6373626373626373
smolm-mlm-bpe-unmask-seed_111,n,adv,5,0.01,3,0.6956521739130435,0.7252747252747253
smolm-mlm-bpe-unmask-seed_111,adj,v,2,0.01,2,0.78,0.8
smolm-mlm-bpe-unmask-seed_111,adj,v,3,0.001,7,0.82,0.82
smolm-mlm-bpe-unmask-seed_111,n,adv,1,0.001,46,0.6847826086956522,0.6813186813186813
smolm-mlm-bpe-unmask-seed_222,adj,adv,5,0.01,4,0.5978260869565217,0.5384615384615384
smolm-mlm-bpe-unmask-seed_222,n,adv,3,0.001,13,0.717391304347826,0.6813186813186813
smolm-mlm-bpe-unmask-seed_222,adj,adv,2,0.001,45,0.5978260869565217,0.5824175824175825
smolm-mlm-bpe-unmask-seed_222,adj,adv,4,0.01,3,0.5869565217391305,0.5494505494505495
smolm-mlm-bpe-unmask-seed_222,adj,v,5,0.01,16,0.77,0.82
smolm-mlm-bpe-unmask-seed_222,n,v,1,0.01,15,0.82,0.81
smolm-mlm-bpe-unmask-seed_222,adj,adv,3,0.001,19,0.5978260869565217,0.5494505494505495
smolm-mlm-bpe-unmask-seed_222,adv,v,2,0.001,18,0.6413043478260869,0.6043956043956044
smolm-mlm-bpe-unmask-seed_222,n,adj,4,0.01,10,0.69,0.7
smolm-mlm-bpe-unmask-seed_222,adv,v,3,0.001,1,0.7065217391304348,0.7252747252747253
smolm-mlm-bpe-unmask-seed_222,n,v,3,0.01,14,0.83,0.83
smolm-mlm-bpe-unmask-seed_222,n,adj,5,0.001,7,0.76,0.75
smolm-mlm-bpe-unmask-seed_222,n,adv,4,0.01,1,0.7065217391304348,0.6703296703296703
smolm-mlm-bpe-unmask-seed_222,adv,v,1,0.01,0,0.6413043478260869,0.5934065934065934
smolm-mlm-bpe-unmask-seed_222,adj,v,1,0.001,8,0.75,0.71
smolm-mlm-bpe-unmask-seed_222,n,v,2,0.01,15,0.87,0.83
smolm-mlm-bpe-unmask-seed_222,n,v,5,0.001,60,0.78,0.79
smolm-mlm-bpe-unmask-seed_222,n,adj,3,0.01,2,0.8,0.74
smolm-mlm-bpe-unmask-seed_222,adj,v,4,0.01,13,0.77,0.76
smolm-mlm-bpe-unmask-seed_222,adv,v,4,0.01,0,0.6630434782608695,0.5604395604395604
smolm-mlm-bpe-unmask-seed_222,n,adj,1,0.001,7,0.73,0.73
smolm-mlm-bpe-unmask-seed_222,n,adj,2,0.001,38,0.74,0.72
smolm-mlm-bpe-unmask-seed_222,n,v,4,0.01,15,0.84,0.84
smolm-mlm-bpe-unmask-seed_222,adj,adv,1,0.001,57,0.5978260869565217,0.5384615384615384
smolm-mlm-bpe-unmask-seed_222,adv,v,5,0.01,15,0.6521739130434783,0.5824175824175825
smolm-mlm-bpe-unmask-seed_222,n,adv,2,0.001,0,0.7934782608695652,0.7692307692307693
smolm-mlm-bpe-unmask-seed_222,n,adv,5,0.001,18,0.7065217391304348,0.6813186813186813
smolm-mlm-bpe-unmask-seed_222,adj,v,2,0.01,16,0.77,0.77
smolm-mlm-bpe-unmask-seed_222,adj,v,3,0.01,11,0.75,0.8
smolm-mlm-bpe-unmask-seed_222,n,adv,1,0.01,0,0.7282608695652174,0.5934065934065934
smolm-mlm-bpe-unmask-seed_666,adj,adv,5,0.01,2,0.6630434782608695,0.5494505494505495
smolm-mlm-bpe-unmask-seed_666,n,adv,3,0.01,20,0.7717391304347826,0.6813186813186813
smolm-mlm-bpe-unmask-seed_666,adj,adv,2,0.01,20,0.6739130434782609,0.5274725274725275
smolm-mlm-bpe-unmask-seed_666,adj,adv,4,0.001,60,0.6630434782608695,0.5494505494505495
smolm-mlm-bpe-unmask-seed_666,adj,v,5,0.01,21,0.76,0.82
smolm-mlm-bpe-unmask-seed_666,n,v,1,0.01,8,0.81,0.85
